                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.55073,                0.36536,                0.82618,                0.99842,                      1,                  0.995,                0.88973,                0.48205,                0.33293,                0.81268,              0.0013714,              0.0013714,              0.0013714
                    129,                0.59982,                0.39693,                0.83643,                0.99842,                      1,                  0.995,                0.88973,                0.48205,                0.33293,                0.81268,              0.0013664,              0.0013664,              0.0013664
                    130,                0.56841,                0.37746,                0.81669,                0.99869,                      1,                  0.995,                 0.8956,                0.47707,                0.33629,                0.81002,              0.0013615,              0.0013615,              0.0013615
                    131,                0.61199,                0.37758,                0.81928,                0.99869,                      1,                  0.995,                 0.8956,                0.47707,                0.33629,                0.81002,              0.0013565,              0.0013565,              0.0013565
                    132,                0.60133,                0.37549,                0.83021,                 0.9987,                      1,                  0.995,                0.90459,                0.45959,                0.32429,                0.80769,              0.0013515,              0.0013515,              0.0013515
                    133,                0.56799,                0.37792,                0.81566,                 0.9987,                      1,                  0.995,                0.90459,                0.45959,                0.32429,                0.80769,              0.0013466,              0.0013466,              0.0013466
                    134,                0.57403,                0.37104,                0.82483,                0.99891,                      1,                  0.995,                0.91546,                0.43722,                0.31436,                0.80664,              0.0013417,              0.0013417,              0.0013417
                    135,                  0.565,                0.35565,                0.83743,                0.99891,                      1,                  0.995,                0.91546,                0.43722,                0.31436,                0.80664,              0.0013367,              0.0013367,              0.0013367
                    136,                0.55634,                0.37697,                0.83316,                 0.9989,                      1,                  0.995,                0.92409,                0.44096,                0.31445,                0.80531,              0.0013318,              0.0013318,              0.0013318
                    137,                0.60395,                0.39025,                0.82495,                 0.9989,                      1,                  0.995,                0.92409,                0.44096,                0.31445,                0.80531,              0.0013268,              0.0013268,              0.0013268
                    138,                0.52551,                 0.3605,                0.81763,                 0.9992,                      1,                  0.995,                0.92069,                0.44761,                0.32225,                0.80596,              0.0013219,              0.0013219,              0.0013219
                    139,                0.58226,                0.36055,                0.82206,                 0.9992,                      1,                  0.995,                0.92069,                0.44761,                0.32225,                0.80596,              0.0013169,              0.0013169,              0.0013169
                    140,                0.51431,                0.35798,                0.82234,                0.99927,                      1,                  0.995,                0.91394,                0.46256,                0.32643,                0.80648,               0.001312,               0.001312,               0.001312
                    141,                0.58588,                0.37748,                0.81865,                0.99927,                      1,                  0.995,                0.91394,                0.46256,                0.32643,                0.80648,               0.001307,               0.001307,               0.001307
                    142,                 0.6197,                0.36403,                0.81157,                0.99922,                      1,                  0.995,                0.90816,                0.47991,                 0.3216,                0.80689,               0.001302,               0.001302,               0.001302
                    143,                0.48778,                0.34114,                0.81422,                0.99922,                      1,                  0.995,                0.90816,                0.47991,                 0.3216,                0.80689,              0.0012971,              0.0012971,              0.0012971
                    144,                0.53485,                0.36626,                0.82352,                0.99928,                      1,                  0.995,                 0.9109,                0.46881,                  0.325,                0.80383,              0.0012922,              0.0012922,              0.0012922
                    145,                0.52141,                0.37523,                0.82553,                0.99928,                      1,                  0.995,                 0.9109,                0.46881,                  0.325,                0.80383,              0.0012872,              0.0012872,              0.0012872
                    146,                0.53948,                0.36738,                0.81056,                0.99923,                      1,                  0.995,                0.92217,                0.44392,                0.32504,                0.80038,              0.0012822,              0.0012822,              0.0012822
                    147,                0.57188,                0.37338,                0.81545,                0.99923,                      1,                  0.995,                0.92217,                0.44392,                0.32504,                0.80038,              0.0012773,              0.0012773,              0.0012773
                    148,                0.63851,                0.38789,                0.83329,                0.99919,                      1,                  0.995,                0.91986,                0.43711,                0.32212,                0.80094,              0.0012724,              0.0012724,              0.0012724
                    149,                0.51832,                 0.3626,                0.81051,                0.99919,                      1,                  0.995,                0.91986,                0.43711,                0.32212,                0.80094,              0.0012674,              0.0012674,              0.0012674
                    150,                0.57621,                0.37545,                0.81509,                0.99925,                      1,                  0.995,                0.92053,                0.43333,                 0.3135,                0.80175,              0.0012624,              0.0012624,              0.0012624
